Test Name,Chapter,Question ID,Question,Option A,Option B,Option C,Option D,Correct Answer,Section Reference
"Chapter 11: Artistic Events - Regional Test",AE,13,"For compulsory routines, judges score each sequence between 0.0 and what?","5.0","10.0","15.0","20.0","10.0","4.3.1"
"Chapter 11: Artistic Events - Regional Test",AE,14,"A panel of how many judges evaluates AE routines?","Three","Four","Five","Six","Three","4.4.2.1"
"Chapter 11: Artistic Events - Regional Test",AE,15,"The three judges' scores are averaged to calculate the score.","True","False","Only in compulsory","Only in free","True","4.5.2.1"
"Chapter 11: Artistic Events - Regional Test",AE,16,"What is the maximum wind speed for Artistic Events?","7 m/s","9 m/s","11 m/s","13 m/s","9 m/s","2.5.1"
"Chapter 11: Artistic Events - Regional Test",AE,17,"Aircraft speed at exit is determined by whom for AE?","Chief Judge","Meet Director","Chief Pilot","Team","Meet Director","2.1.1"
"Chapter 11: Artistic Events - Regional Test",AE,18,"The minimum number of rounds to constitute a meet is one (the free round).","True","False","Two rounds minimum","Three rounds minimum","True","3.3.1"
"Chapter 11: Artistic Events - Regional Test",AE,19,"Working time starts when for Artistic Events?","Any team member separates from aircraft","Videographer exit","First performer exit","First formation","Any team member separates from aircraft","1.1.7"
"Chapter 11: Artistic Events - Regional Test",AE,20,"If judges cannot determine start of working time, what is used?","Rejump granted","Videographer separates from aircraft","Average time applied","Zero score","Videographer separates from aircraft","4.4.6"
"Chapter 11: Artistic Events - Regional Test",AE,21,"A penalty of what percent is deducted if start time cannot be determined?","10%","15%","20%","25%","20%","4.4.6"
"Chapter 11: Artistic Events - Regional Test",AE,22,"A Freestyle team has how many performers (not including videographer)?","One","Two","Three","Four","One","1.1.1"
"Chapter 11: Artistic Events - Regional Test",AE,23,"A Freefly team has how many performers (not including videographer)?","One","Two","Three","Four","Two","1.1.2"
"Chapter 11: Artistic Events - Regional Test",AE,24,"Each Compulsory Routine consists of how many Compulsory Sequences?","Two","Three","Four","Five","Four","3.2.2"
"Chapter 11: Artistic Events - Regional Test",AE,25,"For ties in the first three places, what is the first tie-breaking method?","Tie-break free round","Sum of free rounds","Highest single round","Co-placing","Tie-break free round","5.3.1"
"Chapter 11: Artistic Events - National Test",AE,1,"If tie persists after comparing free rounds, what is compared next?","Compulsory rounds","Last free round","Highest single round","Average score","Compulsory rounds","5.3.2.2"
"Chapter 11: Artistic Events - National Test",AE,2,"The first three places in a tie are determined by a tie-break free round if what?","Chief Judge decides","Time permits","Teams agree","Always required","Time permits","5.3.1"
"Chapter 11: Artistic Events - National Test",AE,3,"Teams must deliver compulsory sequence order and Max Values when?","Day of competition","Before competition begins","After first round","48 hours before","Before competition begins","3.2.4.1"
"Chapter 11: Artistic Events - National Test",AE,4,"Failure to provide compulsory sequence order results in what score?","Average score","Zero points","Penalty deduction","Rejump offered","Zero points","3.2.4.2"
"Chapter 11: Artistic Events - National Test",AE,5,"Free routine videos must be delivered to Chief Judge how long before registration closes?","24 hours","48 hours","72 hours","1 week","48 hours","3.2.4.3"
"Chapter 11: Artistic Events - National Test",AE,6,"Each Compulsory Routine consists of how many Compulsory Sequences?","Two","Three","Four","Five","Four","3.2.2"
"Chapter 11: Artistic Events - National Test",AE,7,"Compulsory Sequences must be performed in what order?","Any order","Submitted order","Numerical order","Difficulty order","Submitted order","3.2.2"
"Chapter 11: Artistic Events - National Test",AE,8,"In free rounds, execution deductions are determined by how many judges?","Two","Three","Four","Five","Three","4.2.2.1"
"Chapter 11: Artistic Events - National Test",AE,9,"The compulsory sequence average is multiplied by what factor?","0.1","0.225","0.5","1.0","0.225","4.5.2.2"
"Chapter 11: Artistic Events - National Test",AE,10,"The presentation average in compulsory rounds is multiplied by what factor?","0.1","0.225","0.5","1.0","0.1","4.5.2.2"
"Chapter 11: Artistic Events - National Test",AE,11,"All three judges' scores are averaged with no rounding applied.","True","False","Only for free","Only for compulsory","True","4.5.2.1"
"Chapter 11: Artistic Events - National Test",AE,12,"Executing compulsory sequences in wrong order results in what for out-of-order sequences?","Penalty points","Zero score","Rejump","Warning","Zero score","4.3.3.1"
"Chapter 11: Artistic Events - National Test",AE,13,"If judges recognize an attempt at a compulsory sequence, a second attempt receives what?","Full score","Half score","No score","Bonus points","No score","4.3.3"
"Chapter 11: Artistic Events - National Test",AE,14,"Working time terminates how many seconds after exit for Freestyle?","40 seconds","43 seconds","45 seconds","50 seconds","45 seconds","1.1.7.1"
"Chapter 11: Artistic Events - National Test",AE,15,"Freestyle Team Members are allowed to change their position in the team.","True","False","Only once","Only with approval","True","3.1.3"
"Chapter 11: Artistic Events - National Test",AE,16,"Only one Team Member may carry freefall video equipment on any particular round.","True","False","Two allowed","Unlimited","True","3.1.3"
"Chapter 11: Artistic Events - National Test",AE,17,"Presentation in compulsory routines is scored for what?","Whole routine","Beginning, end, and moves between sequences","Sequences only","Exit only","Beginning, end, and moves between sequences","4.3.2"
"Chapter 11: Artistic Events - National Test",AE,18,"Camera deductions in free rounds can be up to what for performer too far from camera?","-1.0 points","-2.0 points","-3.0 points","-5.0 points","-2.0 points","4.2.3.2"
"Chapter 11: Artistic Events - National Test",AE,19,"A performer and videographer may be on at most how many Freestyle teams?","One","Two","Three","Unlimited","One","3.1.5"
"Chapter 11: Artistic Events - National Test",AE,20,"Judges watch each jump how many times with an optional second viewing?","Once","Twice","Three times","Unlimited","Once","4.4.3"
"Chapter 11: Artistic Events - National Test",AE,21,"A third view of a compulsory round jump is allowed at whose discretion?","Team request","Chief Judge","Majority of judges","Event Judge","Event Judge","4.4.3"
"Chapter 11: Artistic Events - National Test",AE,22,"Problems with a team's equipment are grounds for a rejump.","True","False","Only video equipment","Only safety equipment","False","2.4.3"
"Chapter 11: Artistic Events - National Test",AE,23,"Contact between performers and videographer is grounds for a rejump.","True","False","Only if intentional","Chief Judge decides","False","2.4.2"
"Chapter 11: Artistic Events - National Test",AE,24,"Adverse weather during a jump is grounds for protest.","True","False","Only for rejump","Chief Judge decides","False","2.4.4"
"Chapter 11: Artistic Events - National Test",AE,25,"A Freefly team consists of how many Team Members total?","Two","Three","Four","Five","Three","3.1.4"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,1,"What is the minimum exit altitude for CP with 1-2 competitors?","1000 meters AGL","1200 meters AGL","1500 meters AGL","2000 meters AGL","1200 meters AGL","3.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,2,"How many events comprise Canopy Piloting?","Two","Three","Four","Five","Three","1.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,3,"What are the three CP events?","Speed, Distance, Style","Speed, Distance, Zone Accuracy","Speed, Accuracy, Style","Distance, Accuracy, Freestyle","Speed, Distance, Zone Accuracy","2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,4,"What is the course length for Carved Speed?","50 meters","60 meters","70 meters","80 meters","70 meters","Addendum C 1.1.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,5,"What is the maximum ground wind speed for CP Speed and Distance events?","5 m/s","7 m/s","9 m/s","11 m/s","7 m/s","3.1.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,6,"Each CP performance shall be observed by at least how many judges?","Two","Three","Four","Five","Three","5.1.3"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,7,"In Zone Accuracy, the top ranked competitor's score is set to what percentage?","50%","75%","100%","125%","100%","4.5.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,8,"In Distance, scoring begins at what point?","Exit point","Entry gate (G1)","Water contact","Course start","Entry gate (G1)","4.3.5.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,9,"What is the width of the CP course?","10 meters","12 meters","15 meters","20 meters","10 meters","Addendum B 1.1.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,10,"How many rounds are scheduled per CP event (Speed, Distance, Zone Accuracy)?","Two","Three","Four","Five","Three","1.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,11,"The minimum number of rounds for a valid CP event is one.","True","False","Two rounds required","Three rounds required","True","1.2.3"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,12,"What result applies for a Missed Entry (ME) in CP?","Default result","Minimum result (zero points)","Rejump offered","Average of other rounds","Minimum result (zero points)","4.1.4.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,13,"The Overall Champion is the competitor with the highest what?","Total points from all events","Average placing","Combined event scores","Best three rounds","Total points from all events","7.1.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,14,"What is the Default Result (DR) in CP events?","Zero points","Three points","Five points","Ten points","Three points","Addendum A"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,15,"CP-Freestyle is covered in which chapter?","Chapter 12","Chapter 13","Chapter 14","Appendix","Chapter 13","13-1.1.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,16,"What is the minimum exit altitude for CP-Freestyle with 1-2 competitors?","1000 meters AGL","1200 meters AGL","1500 meters AGL","2000 meters AGL","1200 meters AGL","3.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,17,"How many rounds comprise a CP-Freestyle competition?","One","Two","Three","Four","Three","1.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,18,"What is the minimum number of rounds required for a valid CP-Freestyle event?","One","Two","Three","Four","One","1.2.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,19,"CP-Freestyle is an individual event.","True","False","Team of two","Team of three","True","2.1.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,20,"Each judge scores CP-Freestyle performances from 0.0 to what maximum?","5.0","7.5","10.0","15.0","10.0","4.1.7"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,21,"How many judges evaluate each CP-Freestyle jump?","Three","Four","Five","Six","Five","4.1.7"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,22,"In Speed, the course ends at what?","Water exit","Exit gate","100-meter mark","Landing","Exit gate","12-4.2.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,23,"What is the Default Result (DR) in CP-Freestyle?","Zero points","Three points","Five points","Ten points","Three points","2.2"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,24,"The maximum wind speed for CP-Freestyle is what?","5 m/s","7 m/s","9 m/s","11 m/s","7 m/s","3.1.1"
"Chapters 12 & 13: Canopy Piloting - Regional Test",CP,25,"What is the maximum points possible in CP-Freestyle (3 rounds)?","100 points","200 points","300 points","400 points","300 points","7.1.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,1,"In Speed, time is measured to what precision?","0.1 seconds","0.01 seconds","0.001 seconds","0.0001 seconds","0.001 seconds","4.2.3"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,2,"In Distance, measurements are to what precision?","0.1 meters","0.5 meters","1 meter","0.01 meters","0.01 meters","4.3.5.2"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,3,"A video review (VR) cycle is comprised of a maximum of how many viewings?","One","Two","Three","Four","Three","12-6.2.4"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,4,"If Out Flying (OF) occurs after G1 is scored, what result is issued?","Minimum result (0 points)","Default result (3 points)","Rejump offered","Disqualification","Default result (3 points)","4.1.3"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,5,"In Distance, what is measured from G1 to determine score?","Distance to water exit","Distance to G5","Distance to closest point touched during landing","Distance to landing stop","Distance to closest point touched during landing","4.3.5.2"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,6,"How many zones comprise Zone Accuracy in CP?","Six","Eight","Ten","Twelve","Ten","12-Addendum E"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,7,"In CP tied placing for first three places, what is the first tiebreaker?","One tie-breaking jump","Best single round result","Overall points","Speed result","One tie-breaking jump","7.2.1.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,8,"The host must provide how many additional persons to assist CP-Freestyle judges?","One","Two","Three","Four","Two","13-5.1.3.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,9,"At least one CP-Freestyle helper must be able to operate what?","Timing system","Video judging system","Wind meter","Radio","Video judging system","13-5.1.3.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,10,"CP-Freestyle helpers should preferably have what rating?","Regional FS judge","National CP judge","Local CP judge","Any judge rating","Local CP judge","13-5.1.3.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,11,"CP-Freestyle helpers must be approved by whom no later than day before OPP?","Meet Director","Chief Judge","Video Controller","USPA Controller","Chief Judge","13-5.1.3.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,12,"What is the maximum allowable wind speed for Zone Accuracy in CP?","5 m/s","6 m/s","7 m/s","9 m/s","5 m/s","12-3.1.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,13,"What is the fee to invoke a video review challenge in CP?","$25","$50","$75","$100","$75","12-6.3.5"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,14,"In CP-Freestyle Open class Round 1, moves must have DoD less than what?","2.0","3.0","4.0","5.0","5.0","4.1.1.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,15,"In CP-Freestyle Intermediate class Round 1, moves must have DoD less than what?","2.0","3.0","4.0","5.0","2.0","4.1.2.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,16,"Routine description sheets must be presented how long before competition start?","24 hours","36 hours","48 hours","72 hours","48 hours","4.1.3"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,17,"If routine description sheet is not presented on time, the DoD for each round will be what?","1.0","1.2","1.5","2.0","1.2","4.1.3"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,18,"A penalty in CP-Freestyle is applied when indicated by a minimum of how many judges?","Two","Three","Four","Five","Three","4.1.8"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,19,"In CP-Freestyle tied placing, what determines higher standing first?","Best single score","Higher placing in completed rounds","Last round score","Total points","Higher placing in completed rounds","7.2.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,20,"In CP, competitors jump in what order in later rounds?","Random","Registration order","Reverse standings","Same order","Reverse standings","12-3.5.5"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,21,"The CP water course minimum depth at the beginning to G2 is what?","0.40 meters","0.50 meters","0.60 meters","0.75 meters","0.60 meters","Addendum B 1.1.4.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,22,"In Speed, what triggers the timing system start?","Exit signal","Entry gate","First water contact","Competitor signal","Entry gate","12-4.2.1"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,23,"The video review panel in CP-Freestyle consists of how many persons?","Two","Three","Four","Five","Three","6.2.2"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,24,"One complete round constitutes a meet for CP-Freestyle.","True","False","Two rounds","Three rounds","True","1.2.2"
"Chapters 12 & 13: Canopy Piloting - National Test",CP,25,"What is the minimum number of high-performance landings for CP Open class?","100 in 12 months","150 in 12 months","200 total","500 total","150 in 12 months","1-5.2.2"
"Chapter 14: Wingsuit Flying - Regional Test",WS,1,"What is the maximum exit altitude for Wingsuit Performance?","10,000 feet","10,500 feet","11,000 feet","12,500 feet","11,000 feet","5.4.6"
"Chapter 14: Wingsuit Flying - Regional Test",WS,2,"What is the minimum exit altitude for Wingsuit Acrobatic?","10,000 feet","11,000 feet","12,000 feet","12,500 feet","12,000 feet","6.3.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,3,"How many tasks comprise Wingsuit Performance?","Two","Three","Four","Five","Three","5.1.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,4,"What are the three Performance tasks?","Time, Distance, Speed","Speed, Distance, Time","Distance, Speed, Altitude","Time, Distance, Style","Time, Distance, Speed","5.3"
"Chapter 14: Wingsuit Flying - Regional Test",WS,5,"Wingsuit Performance is an individual event.","True","False","Team of two","Team of three","True","5.1.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,6,"Wingsuit Acrobatic team size is how many including videographer?","Two","Three","Four","Five","Three","2.3.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,7,"How many compulsory rounds in WS Acrobatic?","Two","Three","Four","Five","Four","6.2.2.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,8,"How many free rounds in WS Acrobatic?","Two","Three","Four","Five","Three","6.2.2.2"
"Chapter 14: Wingsuit Flying - Regional Test",WS,9,"The Acrobatic Altitude Window lower boundary is how many feet below the upper boundary?","5,000 feet","6,500 feet","7,500 feet","8,000 feet","7,500 feet","6.3.3"
"Chapter 14: Wingsuit Flying - Regional Test",WS,10,"How many judges minimum for Wingsuit Performance?","Two","Three","Four","Five","Two","7.1.2"
"Chapter 14: Wingsuit Flying - Regional Test",WS,11,"How many judges minimum for Wingsuit Acrobatic?","Three","Four","Five","Six","Three","7.2.3"
"Chapter 14: Wingsuit Flying - Regional Test",WS,12,"What is the maximum wind speed for Wingsuit events?","7 m/s","9 m/s","11 m/s","13 m/s","9 m/s","5.7.4"
"Chapter 14: Wingsuit Flying - Regional Test",WS,13,"The Performance competition window is between what altitudes?","2500m-1500m (8202-4921 ft)","3000m-2000m","2000m-1000m","3500m-2500m","2500m-1500m (8202-4921 ft)","2.2.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,14,"How many rounds does a WS Performance competition consist of?","Two","Three","Four","Five","Three","5.4.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,15,"How many rounds does a WS Acrobatic competition consist of?","Six","Seven","Eight","Ten","Seven","6.2.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,16,"A valid WS Performance competition requires at least one valid task.","True","False","One round","Three tasks","True","5.4.4"
"Chapter 14: Wingsuit Flying - Regional Test",WS,17,"What is the minimum horizontal spacing between exits in WS Performance?","400m","500m","600m","800m","600m","5.5.5"
"Chapter 14: Wingsuit Flying - Regional Test",WS,18,"In WS Performance, scores are recorded using what?","Video","Ground observers","Position Logging Device (PLD)","Timing gates","Position Logging Device (PLD)","2.1.2"
"Chapter 14: Wingsuit Flying - Regional Test",WS,19,"The Speed task measures what?","Horizontal ground speed (km/h)","Vertical speed","Air speed","Total velocity","Horizontal ground speed (km/h)","5.3.3"
"Chapter 14: Wingsuit Flying - Regional Test",WS,20,"The Time task measures what?","Total flight time","Time in competition window (seconds)","Time to target","Freefall time","Time in competition window (seconds)","5.3.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,21,"The Distance task measures what?","Total distance","Straight-line ground distance (meters)","Vertical distance","3D distance","Straight-line ground distance (meters)","5.3.2"
"Chapter 14: Wingsuit Flying - Regional Test",WS,22,"WS Acrobatic performers (not including videographer) must be how many?","One","Two","Three","Four","Two","2.3.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,23,"With 5 judges in WS Acrobatic, the highest and lowest scores are discarded.","True","False","Only compulsory","Only free","True","7.2.8.1"
"Chapter 14: Wingsuit Flying - Regional Test",WS,24,"WS Performance Overall uses what calculation method?","Total points","Average placing","Sum of percentage scores","Best rounds","Sum of percentage scores","5.9.3"
"Chapter 14: Wingsuit Flying - Regional Test",WS,25,"A wingsuit is defined as a garment forming wings between what?","Arms only","Legs only","Arms, legs, and torso","Inflatable cells","Arms, legs, and torso","2.1.1"
"Chapter 14: Wingsuit Flying - National Test",WS,1,"In WS Performance, what happens if PLD malfunctions (not competitor's fault)?","Rejump option offered","Zero score","Average of other rounds","DNF","Rejump option offered","4.2.11"
"Chapter 14: Wingsuit Flying - National Test",WS,2,"The Performance competition window upper boundary is at what Geometric Altitude?","2000m","2500m (8202ft)","3000m","3500m","2500m (8202ft)","2.2.1"
"Chapter 14: Wingsuit Flying - National Test",WS,3,"The Performance competition window lower boundary is at what Geometric Altitude?","1000m","1500m (4921ft)","2000m","2500m","1500m (4921ft)","2.2.1"
"Chapter 14: Wingsuit Flying - National Test",WS,4,"For Performance, the Meet Director may lower exit altitude to no lower than what?","9,000 feet","10,000 feet (3048m)","11,000 feet","11,500 feet","10,000 feet (3048m)","5.4.7"
"Chapter 14: Wingsuit Flying - National Test",WS,5,"If Performance exit altitude is lowered, what happens to the competition window?","Lowered proportionally","Lowered 1,500 feet","Lowered 2,000 feet","Window stays 2500-1500m","Window stays 2500-1500m","5.4.7"
"Chapter 14: Wingsuit Flying - National Test",WS,6,"WS Acrobatic compulsory sequences contain how many maneuvers?","2 or 4","3 only","4 only","5","2 or 4","2.3.5"
"Chapter 14: Wingsuit Flying - National Test",WS,7,"In WS Acrobatic compulsory rounds, style is scored on a scale of what?","0-5 points","0-10 points","0-15 points","0-20 points","0-10 points","Addendum B C-2"
"Chapter 14: Wingsuit Flying - National Test",WS,8,"WS Acrobatic compulsory rounds are evaluated using what criteria?","Style only","Style and number of grips","Grips only","Style, grips, and camera","Style and number of grips","7.2.6.1"
"Chapter 14: Wingsuit Flying - National Test",WS,9,"WS Acrobatic free rounds are evaluated using what criteria?","Style only","Style and grips","Style, dive plan, and camerawork","Dive plan only","Style, dive plan, and camerawork","7.2.7.1"
"Chapter 14: Wingsuit Flying - National Test",WS,10,"Camera Quality in free rounds is scored on a scale of what?","0-5 points","0-7 points","0-10 points","0-15 points","0-7 points","Addendum B C-3"
"Chapter 14: Wingsuit Flying - National Test",WS,11,"Progressive Work in free rounds is scored on a scale of what?","0-3 points","0-5 points","0-7 points","0-10 points","0-3 points","Addendum B C-3"
"Chapter 14: Wingsuit Flying - National Test",WS,12,"Working time starts when for WS Acrobatic?","Any team member exits","Last exit","Videographer exit","Vertical speed reaches 10 m/s","Any team member exits","2.4.10"
"Chapter 14: Wingsuit Flying - National Test",WS,13,"A penalty of what percent is deducted if start of working time cannot be determined on video?","10%","15%","20%","25%","10%","6.8.8"
"Chapter 14: Wingsuit Flying - National Test",WS,14,"In WS Performance tied placing (first three places), what happens?","Best single round compared","Sum of task scores","Tie-break jump made","Speed score","Tie-break jump made","5.9.5.1"
"Chapter 14: Wingsuit Flying - National Test",WS,15,"In WS Acrobatic tie after tie-break jump, what is compared first?","Best compulsory rounds","Best score of free rounds","Average of all rounds","Last round","Best score of free rounds","6.10.3.1"
"Chapter 14: Wingsuit Flying - National Test",WS,16,"How many compulsory sequences make up a compulsory routine?","Two","Three","Four","Five","Three","6.6.1"
"Chapter 14: Wingsuit Flying - National Test",WS,17,"An Acrobatic Wingsuit Flying Team consists of exactly how many members?","Two","Three","Four","Five","Three","2.3.1"
"Chapter 14: Wingsuit Flying - National Test",WS,18,"Speed task result in WS Performance is expressed in what units?","mph","knots","km/h","m/s","km/h","5.3.3"
"Chapter 14: Wingsuit Flying - National Test",WS,19,"Time task result in WS Performance is expressed in what units?","Milliseconds","Centiseconds","Seconds","Minutes","Seconds","5.3.1"
"Chapter 14: Wingsuit Flying - National Test",WS,20,"Distance task result in WS Performance is expressed in what units?","Feet","Meters","Kilometers","Miles","Meters","5.3.2"
"Chapter 14: Wingsuit Flying - National Test",WS,21,"The PLD must have a position accuracy (SEP) of less than how many meters?","5 meters","10 meters","15 meters","20 meters","10 meters","4.1.1"
"Chapter 14: Wingsuit Flying - National Test",WS,22,"Each competitor shall wear how many PLD(s) provided by the Host?","One","Two","Three","One primary, one backup","One","5.8.4"
"Chapter 14: Wingsuit Flying - National Test",WS,23,"The PLD must record data with a resolution of at least what frequency?","1Hz","5Hz","10Hz","20Hz","5Hz","4.1.1"
"Chapter 14: Wingsuit Flying - National Test",WS,24,"If the PLD is lost, what score does the competitor receive?","Zero","Average of others","Rejump","DNF","Zero","4.2.12"
"Chapter 14: Wingsuit Flying - National Test",WS,25,"WS Performance scores are calculated as what of the top result?","Raw scores","Percentage of top result","Standard deviations","Rankings only","Percentage of top result","5.9.2"
"Chapter 15: Speed Skydiving - Regional Test",SP,1,"What is the standard minimum exit altitude for Speed Skydiving?","12,000 feet","13,000 feet","14,000 feet","15,000 feet","13,000 feet","5.4.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,2,"Speed Skydiving is an individual event.","True","False","Team of two","Team of three","True","4.2.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,3,"How many rounds does the Speed Skydiving Individual Event consist of?","Six","Eight","Ten","Twelve","Eight","4.2.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,4,"The performance window ends at what altitude (breakoff)?","4,500 ft AGL","5,000 ft AGL","5,600 ft AGL","6,000 ft AGL","5,600 ft AGL","2.6.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,5,"What is measured in Speed Skydiving?","Ground speed","Horizontal speed","Vertical speed","Total velocity","Vertical speed","4.1.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,6,"Speed is measured using what devices?","Video analysis","Radar","Position Logging Device (PLD)","Timing gates","Position Logging Device (PLD)","2.1.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,7,"How many judges minimum for Speed Skydiving?","Two","Three","Four","Five","Two","6.1.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,8,"The score is the average vertical speed over how many seconds?","2 seconds","3 seconds","4 seconds","5 seconds","3 seconds","4.1.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,9,"The minimum number of rounds for a valid Speed Skydiving event is how many?","One","Two","Three","Four","One","4.2.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,10,"The exit delay between competitors must be at least how many seconds?","3 seconds","5 seconds","7 seconds","10 seconds","5 seconds","5.2.2"
"Chapter 15: Speed Skydiving - Regional Test",SP,11,"Speed is recorded in what units?","mph","knots","km/h","m/s","km/h","5.5.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,12,"Speed Skydiving competitors are ranked by what?","Total speed","Average speed","Best single round","Accumulation/sum of scores","Accumulation/sum of scores","6.3.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,13,"The performance window height is how many feet below the start?","5,000 feet","6,000 feet","7,400 feet","8,000 feet","7,400 feet","2.7.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,14,"The PLD is attached to the competitor's helmet by whom?","Competitor","Team captain","Judging staff member","Meet Director","Judging staff member","3.2.6"
"Chapter 15: Speed Skydiving - Regional Test",SP,15,"If PLD malfunctions (not competitor's fault), what options does competitor have?","Zero score only","Rejump or zero score","Automatic rejump","Average of other rounds","Rejump or zero score","3.2.14"
"Chapter 15: Speed Skydiving - Regional Test",SP,16,"If PLD is tampered with by competitor, what is the result?","Warning","Rejump","Zero score for jump","Disqualification","Zero score for jump","3.2.13"
"Chapter 15: Speed Skydiving - Regional Test",SP,17,"In tied placing (first three places), what is tried first?","Best single round","Tie-break jump","Total speed","Co-medalists declared","Tie-break jump","7.1.2.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,18,"The PLD must record data with a resolution of at least what frequency?","1Hz","3Hz","5Hz","10Hz","5Hz","3.1.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,19,"The performance window starts when vertical speed first reaches what?","5 m/s","10 m/s","15 m/s","20 m/s","10 m/s","2.7.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,20,"Scores of all completed rounds are accumulated for final standings.","True","False","Drop lowest","Best 6 of 8","True","6.3.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,21,"The breakoff altitude in meters is approximately what?","1,500 m","1,707 m","1,900 m","2,000 m","1,707 m","2.6.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,22,"The performance window height in meters is approximately what?","1,500 m","2,000 m","2,256 m","2,500 m","2,256 m","2.7.1"
"Chapter 15: Speed Skydiving - Regional Test",SP,23,"Mixed teams compete for separate medals.","True","False","Only at Nationals","Only at Worlds","True","7.1.3.2"
"Chapter 15: Speed Skydiving - Regional Test",SP,24,"How many competitors form a mixed team?","Two","Three","Four","Five","Two","4.2.2"
"Chapter 15: Speed Skydiving - Regional Test",SP,25,"A mixed team includes how many male and how many female competitors?","One male, one female","Two male, one female","One male, two female","Any combination","One male, one female","4.2.2"
